Log2 (prot/body) MDAMB231*,Log2 (prot/body) U87,Log2 (prot/body) PC3M,Log2 (prot/body) WM266.4,Log2 (prot/body) RPE,Log2 (prot/body) BJ, Gene name,,,
3.47757,0.933965,0.378579,1.27936,0.872638,0.695155,RPS20,,,
0.898825,-0.178479,0.00642633,0.137493,0.125713,0.0117769,RPL26L1,,,
1.41788,0.759281,0.324925,0.382373,0.719617,0.198912,RPL18,,,
1.80122,0.380813,0.315736,0.97686,0.594213,0.327606,RPL31,,,
0.734225,0.450794,0.609815,0.539877,0.664667,0.313956,RPS5,,,
2.3417,0.136423,-0.416284,1.06985,0.6881,0.238889,RPL6,,,
1.24039,1.26107,0.360065,0.670853,1.45928,0.660532,RPLP0,,,
0.528255,0.250232,0.27127,0.955213,0.808622,0.357786,RPL3,,,
1.78595,0.387543,0.451892,0.448377,0.711973,0.305494,RPS16,,,
1.28016,0.621131,0.178862,0.794468,0.965622,0.52838,RPS19,,,
1.38266,0.244093,0.722702,1.30159,0.800427,0.275824,RPL18A,,,
1.09971,1.08802,1.09488,0.432694,0.641924,0.675447,RPL28,,,
2.64603,0.455129,0.318761,0.63544,0.570079,0.468209,RPL19,,,
3.78141,-0.0648525,0.0785089,0.990941,0.997672,0.622062,RPL34,,,
1.81342,0.402387,0.19423,0.813605,0.590499,0.402433,RPS13,,,
1.70281,1.28676,0.620767,1.27397,1.55651,0.996943,RPS12,,,
1.93965,0.512711,0.368091,0.092958,0.236719,0.303437,RPL24,,,
1.09519,0.739324,0.426829,0.900464,0.991031,0.740493,RPS15,,,
2.75024,0.313484,0.0576348,1.31537,1.07629,0.492953,RPL22,,,
2.13825,0.423512,0.630096,0.473123,0.551786,0.427102,RPS25,,,
1.75006,0.207999,0.254033,0.523909,0.334248,0.659273,RPL21,,,
1.42481,0.394504,0.493668,0.738048,0.227887,0.186663,RPL5,,,
1.80447,0.909324,0.62307,0.401763,0.810284,0.662669,RPS10,,,
2.14208,0.63241,0.576424,0.787108,0.748139,0.93584,RPL23,,,
2.05585,0.723803,0.135254,0.708434,0.954685,0.885031,RPL36,,,
1.44722,0.146562,0.446992,0.553989,0.806842,0.763116,RPL27,,,
2.44868,-0.731738,0.188897,0.898611,0.735665,0.951749,RPS15A,,,
2.40708,0.865795,0.582355,0.601647,0.837259,0.950674,RPL35,,,
