MDAMB231,U87,PC3M,WM266.4,RPE,BJ,Protein,,,
NaN,0.582549,2.61021,2.27292,2.47282,2.68951,SPTBN2,,,
NaN,1.10681,2.30364,2.20564,1.48548,2.12438,TMA7,,,
NaN,0.844373,2.11783,1.26661,2.38432,2.419,CDSN,,,
NaN,1.7087,1.69808,1.50237,1.59234,2.34909,ANKZF1,,,
2.16561,1.31132,2.20182,1.58375,1.43245,1.90529,HDGFRP2,,,
NaN,0.894128,2.1305,2.36844,1.29026,1.88381,YAF2,,,
NaN,1.10937,1.76464,2.30737,1.23558,2.13814,NUCKS1,,,
NaN,0.693055,2.28624,2.09687,1.47226,1.70036,C8orf37,,,
3.26483,0.878364,2.30956,1.30764,0.906504,1.18369,EIF1AX,,,
NaN,0.867658,0.636502,2.50683,1.91959,2.27012,SDHAF4,,,
NaN,1.07567,1.98803,1.80332,1.17917,2.11468,SERF2,,,
1.57415,1.5355,1.92984,3.05731,0.325313,1.28482,HN1L,,,
NaN,1.02014,1.91219,1.86452,1.18238,1.94744,CDV3,,,
0.853087,1.1895,1.61633,1.90371,1.64206,2.27029,STMN2,,,
NaN,0.928732,1.57312,1.3369,2.00552,1.97287,SEPTIN5,,,
NaN,1.15195,1.41586,1.29165,2.28064,1.62504,CSTA,,,
NaN,1.15287,0.591734,2.33892,1.31434,2.34928,NPC2,,,
NaN,1.35335,1.34671,1.95416,1.3664,1.69832,NKIRAS2,,,
1.98472,0.897845,1.25488,1.96179,1.09048,2.07301,ARHGDIA,,,
2.77606,0.880198,1.22654,1.97679,0.642965,1.7422,MESDC2,,,
NaN,0.940172,1.85155,1.9102,1.17349,1.76436,CFDP1,,,
1.824,1.20238,1.93983,1.55095,1.1708,1.42223,EIF4B,,,
NaN,0.956635,1.09366,1.79066,1.55325,2.16797,LIMD2,,,
2.70221,0.631915,1.5898,1.78603,0.605635,1.74974,HMGB1,,,
1.50415,1.0301,1.29012,1.9837,1.21874,2.01088,TBCA,,,
NaN,1.37985,1.64125,1.76063,1.00229,1.69674,DNAH9,,,
NaN,1.66658,1.90887,0.919606,1.55092,1.38745,R3HCC1,,,
NaN,1.28239,1.51935,1.78894,1.25121,1.5858,CDC26,,,
NaN,1.05492,1.55987,1.92048,1.08468,1.71408,ENSA,,,
2.3503,0.886071,1.20864,1.75579,1.01381,1.52113,SARS,,,
NaN,1.03193,1.80665,1.51313,1.17431,1.73997,PCNP,,,
2.02831,1.07379,1.02251,1.85069,1.04042,1.6432,TPM3,,,
2.57382,0.585977,1.44415,1.66761,0.78418,1.5605,RAN,,,
NaN,1.36721,0.690243,1.20847,2.13849,1.68219,MAPK1IP1L,,,
1.48515,0.782065,1.20098,1.9231,1.28517,1.79755,SET,,,
NaN,1.00961,1.41137,1.57432,1.28375,1.78033,CLTA,,,
NaN,0.965323,1.53067,1.76748,1.18465,1.60578,C11orf58,,,
NaN,0.824353,1.62853,1.40245,1.0833,2.1111,CLTB,,,
NaN,0.62081,1.96098,1.90664,1.18291,1.34075,NRGN,,,
2.58943,0.670894,0.613996,1.41857,0.857224,2.13228,CSRP1,,,
2.31801,0.824334,0.90498,1.19683,1.02708,1.99402,LASP1,,,
1.37645,0.915004,1.59104,1.72053,1.1317,1.5153,CACYBP,,,
1.95876,0.70886,1.25338,1.8717,0.723984,1.69535,FKBP2,,,
0.529656,1.02957,2.14993,1.81873,0.986752,1.62842,SUB1,,,
2.57007,0.50216,1.40548,1.34847,0.929873,1.386,HMGB2,,,
NaN,0.584328,2.01446,1.44426,1.00457,1.67944,MARCKSL1,,,
NaN,0.925641,1.59564,1.4546,1.17089,1.55956,ZRANB2,,,
1.65341,0.890542,0.801243,1.26537,1.18285,2.20696,TPM4,,,
NaN,0.66988,1.29391,1.68929,1.0948,1.90728,ATPIF1,,,
2.02831,0.782952,0.869839,1.54689,0.95307,1.80095,TPM3,,,
NaN,1.25367,1.59099,1.19412,1.08657,1.51371,PHACTR2,,,
NaN,0.69941,0.863911,1.40745,1.46232,2.17081,KRT2,,,
NaN,1.1402,1.37548,1.74137,0.88541,1.44611,SERPINB12,,,
1.0741,1.10829,1.73004,1.76742,1.14097,1.07578,CKS1B,,,
2.40428,0.844581,0.975445,1.71786,0.74124,1.19384,DUT,,,
2.09216,0.627685,1.13255,1.6538,0.651779,1.71301,MANF,,,
NaN,1.038,1.6834,1.79206,1.02891,1.00963,HIRIP3,,,
